name;number;description;validated_business_object;validated_business_object_alias;severity_level;join_clause;where_clause;message_de;message_en;message_fr;message_it;message_rm;short_text_de;short_text_en;short_text_fr;short_text_it;short_text_rm
SC_RULE0001;1;Hauptdiagnose vorhanden wenn Eintrittsart = Geburt und Vitalstatus = Lebend;ADMINISTRATIVES;adm;error;JOIN [NEUGEBORENE neu] ON neu.UV_FALL_ID = adm.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND adm.UV_EINTRITTSART = 3 AND neu.UV_VITALSTATUS <> 1 AND NOT EXISTS (SELECT 1 FROM [DIAGNOSE dia] WHERE dia.UV_FALL_ID = adm.UV_FALL_ID AND dia.UV_DIAGNOSE_ID = 1);ABC_FALL = [adm.UV_ABC_FALL], EINTRITTSART = [adm.UV_EINTRITTSART], VITALSTATUS = [neu.UV_VITALSTATUS];;ABC_FALL = [adm.UV_ABC_FALL], EINTRITTSART = [adm.UV_EINTRITTSART], VITALSTATUS = [neu.UV_VITALSTATUS];ABC_FALL = [adm.UV_ABC_FALL], EINTRITTSART = [adm.UV_EINTRITTSART], VITALSTATUS = [neu.UV_VITALSTATUS];;Hauptdiagnose: Diese Angabe fehlt (betrifft Statistikfälle A und C);;Diagnostic principal: donnée manquante (cas statistiques A, C);Diagnosi principale: indicazione mancante (riguarda i casi statistici A e C).;
SC_RULE0003;3;Sternkode nicht zulaessig als Hauptdiagnose;DIAGNOSE;dia;error;;dia.UV_DIAGNOSE_ID = 1 AND EXISTS (SELECT 1 FROM [CL_DV_ICD10_Annotation star] JOIN [CL_DV_ICD10_Annotation code] ON code.TYPE = 'CodeWithoutPunctuation' AND star.TYPE = 'Usage' AND star.TITLE = '*' AND star.CODE_LIST_ENTRY_KEY = code.CODE_LIST_ENTRY_KEY WHERE dia.UV_DIAGNOSE_KODE = code.TITLE);DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;Dieser Sternkode ist nicht zulässig, also nicht kodierbar als Hauptdiagnose.;;Le code astérisque n’est pas autorisé comme diagnostic principal.;Codice con asterisco non ammesso, ovvero non riconoscibile come codice per la diagnosi principale.;
SC_RULE0004;4;Kodes mit !: immer als Nebendiagnose, ausser die aeusseren Ursachen (V01!-Y98!);DIAGNOSE;dia;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND dia.UV_DIAGNOSE_ID = 1 AND NOT (dia.UV_DIAGNOSE_KODE LIKE 'Y%' OR dia.UV_DIAGNOSE_KODE LIKE 'X%' OR dia.UV_DIAGNOSE_KODE LIKE 'V%' OR dia.UV_DIAGNOSE_KODE LIKE 'W%') AND EXISTS (SELECT 1 FROM [CL_DV_ICD10_Annotation excl] JOIN [CL_DV_ICD10_Annotation code] ON code.TYPE = 'CodeWithoutPunctuation' AND excl.TYPE = 'Usage' AND excl.TITLE = '!' AND excl.CODE_LIST_ENTRY_KEY = code.CODE_LIST_ENTRY_KEY WHERE dia.UV_DIAGNOSE_KODE = code.TITLE);ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;Kodes mit !: Diese müssen immer als Nebendiagnose angeben werden, ausser die äusseren Ursachen (V01!-Y98!).;;Codes contenant un !: toujours les indiquer comme diagnostic secondaire, sauf les causes externes (V01!-Y98!).;Codici con !: devono essere sempre indicati come diagnosi secondaria, fatta eccezione per le cause esterne (V01!-Y98!).;
SC_RULE0005;5;Hauptdiagnose: Aeussere Ursachen (ICD-10 Kap. XX) hier nicht zulaessig;DIAGNOSE;dia;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND dia.UV_DIAGNOSE_ID = 1 AND (dia.UV_DIAGNOSE_KODE LIKE 'V%' OR dia.UV_DIAGNOSE_KODE LIKE 'X%' OR dia.UV_DIAGNOSE_KODE LIKE 'Y%');ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;Hauptdiagnose: Die Angabe von äussere Ursachen (ICD-10 Kap. XX) sind hier nicht zulässig.;;Diagnostic principal: ici, les causes externes (CIM-10, chap. XX) ne sont pas autorisées.;Diagnosi principale: indicazione delle cause esterne (ICD-10 cap. XX) qui non ammessa.;
SC_RULE0006;6;Ein Fall mit Hauptdiagnose Z758 darf nicht mit SwissDRG abgerechnet werden.;DIAGNOSE;dia;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia.UV_FALL_ID ;adm.UV_ABC_FALL IN ('A', 'C') AND dia.UV_DIAGNOSE_ID = 1 AND dia.UV_DIAGNOSE_KODE = 'Z758' AND adm.UV_TARIF = 1;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], TARIF = [adm.UV_TARIF];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], TARIF = [adm.UV_TARIF];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], TARIF = [adm.UV_TARIF];;Ein Fall mit einer Hauptdiagnose Z758 darf nicht mit SwissDRG abgerechnet werden.;;Un cas dont le diagnostic principal est Z758 ne doit pas être facturé au moyen de SwissDRG.;Un caso con diagnosi principale Z758 non può essere conteggiato con SwissDRG.;
SC_RULE0007;7;Ein Fall mit Hauptdiagnose Z758 muss Eintrittsart 4 Interner Uebertritt haben.;DIAGNOSE;dia;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia.UV_FALL_ID ;adm.UV_ABC_FALL IN ('A', 'C') AND dia.UV_DIAGNOSE_ID = 1 AND dia.UV_DIAGNOSE_KODE = 'Z758' AND adm.UV_EINTRITTSART <> '4';ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], EINTRITTSART = [adm.UV_EINTRITTSART];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], EINTRITTSART = [adm.UV_EINTRITTSART];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], EINTRITTSART = [adm.UV_EINTRITTSART];;Ein Fall mit einer Hauptdiagnose Z758 muss Eintrittsart 4 Interner Übertritt haben.;;Un cas dont le diagnostic principal est Z758 doit avoir le type d’admission 4 Transfert interne.;Un caso con diagnosi principale Z758 deve avere la modalità di ammissione 4 «Trasferimento interno».;
SC_RULE0008;8;Kreuzkode nicht zulaessig als Hauptdiagnose-Zusatz;DIAGNOSE;dia;error;;dia.UV_DIAGNOSE_ID = 1 AND EXISTS (SELECT 1 FROM [CL_DV_ICD10_Annotation star] JOIN [CL_DV_ICD10_Annotation code] ON code.TYPE = 'CodeWithoutPunctuation' AND star.TYPE = 'Usage' AND star.TITLE = '†' AND star.CODE_LIST_ENTRY_KEY = code.CODE_LIST_ENTRY_KEY WHERE dia.UV_DIAGNOSE_ZUSATZ = code.TITLE);DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_ZUSATZ = [dia.UV_DIAGNOSE_KODE];;DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_ZUSATZ = [dia.UV_DIAGNOSE_KODE];DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_ZUSATZ = [dia.UV_DIAGNOSE_KODE];;Ein Kreuzkode ist hier nicht zulässig als Hauptdiagnose-Zusatz;;Le code dague n’est pas autorisé comme complément au diagnostic principal.;Codice con croce qui non ammesso come complemento alla diagnosi principale.;
SC_RULE0010;10;Hauptdiagnosecodes T90 - T98 benoetigen keine Zusatzdiagnose V - Y mehr.;DIAGNOSE;dia;warning;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND dia.UV_DIAGNOSE_ID = 1 AND dia.UV_DIAGNOSE_KODE LIKE 'T9%' AND SUBSTR(dia.UV_DIAGNOSE_ZUSATZ, 1, 1) IN ('V', 'W', 'X', 'Y');ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], DIAGNOSE_ZUSATZ = [dia.UV_DIAGNOSE_ZUSATZ];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], DIAGNOSE_ZUSATZ = [dia.UV_DIAGNOSE_ZUSATZ];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], DIAGNOSE_ZUSATZ = [dia.UV_DIAGNOSE_ZUSATZ];;Hauptdiagnosekodes T90 - T98 benötigen keine Zusatzdiagnose V - Y mehr.;;Les codes de diagnostic principal T90 - T98 ne nécessitent plus de diagnostic supplémentaire V - Y.;I codici della diagnosi principale T90 - T98 non necessitano più di una diagnosi complementare V - Y.;
SC_RULE0011;11;Ungueltiger Diagnosekode (ICD-10);DIAGNOSE;dia;error;;NOT EXISTS (SELECT 1 FROM [CL_DV_ICD10_Annotation codes] WHERE codes.TYPE = 'CodeWithoutPunctuation' AND dia.UV_DIAGNOSE_KODE = codes.TITLE);DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;Ungültiger Diagnosekode (ICD-10).Diese Angabe ist unzulässig. Es wurde ein nicht kodierbarer Diagnosekode angegeben.;;Code diagnostique (CIM-10) non valable. Cette indication n’est pas autorisée. Le code de diagnostic indiqué n’est pas codable.;Codice della diagnosi non valido (ICD-10). Indicazione non ammessa. È stato indicato un codice della diagnosi non riconoscibile.;
SC_RULE0014;14;Nicht terminaler ICD 10-Kode;DIAGNOSE;dia;error;JOIN [CL_DV_ICD10_Annotation annotation] ON annotation.TYPE = 'CodeWithoutPunctuation' AND dia.UV_DIAGNOSE_KODE = annotation.TITLE;annotation.CODE_LIST_ENTRY_KEY = (SELECT code.KEY FROM [CL_DV_ICD10 code] WHERE code.KEY = annotation.CODE_LIST_ENTRY_KEY AND code.VALUE IN (SELECT DISTINCT parent.PARENT_CODE FROM [CL_DV_ICD10 parent]));DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;Ungültiger Diagnosekode (ICD-10). Diese Angabe ist unzulässig. Es wurde ein nicht kodierbarer Diagnosekode angegeben.;;Code diagnostique (CIM-10) non valable. Cette indication n’est pas autorisée. Le code de diagnostic indiqué n’est pas codable.;Codice della diagnosi non valido (ICD-10). indicazione non ammessa. È stato indicato un codice della diagnosi non riconoscibile.;
